sample_idx,pearson_correlation,mse
66,0.9935508065812209,0.0070176846
67,0.993799998638749,0.0014893404
68,0.9934903760127333,0.0045967745
69,0.9933774020279411,0.0014930352
70,0.9895411007731402,0.003196197
71,0.9922410213716459,0.004832617
72,0.9908083548018549,0.004406693
73,0.9872010227937964,0.004969259
74,0.9912132617915229,0.0041799513
75,0.9894485985722624,0.0025039979
76,0.9915285773057203,0.0030833336
77,0.9935030961454335,0.0054340134
78,0.993363010419339,0.0077733053
79,0.9926687198239322,0.0022163254
80,0.9935023303165963,0.0060955686
81,0.993340915471874,0.0022905767
82,0.9919230486294375,0.005100567
83,0.9934767863996089,0.005986613
84,0.992382139171175,0.0017266334
85,0.9911170800794468,0.002934398
86,0.9899084535731016,0.0030579912
87,0.9938478023872347,0.0071622673
88,0.9934904500659157,0.005474676
89,0.9931469541477866,0.0033129184
90,0.9902964268750089,0.013579833
91,0.9936654173403402,0.0015015552
92,0.9875891172959195,0.003962506
93,0.9919223027834756,0.003303606
94,0.9918841728323436,0.005337373
95,0.9920205546742104,0.003247275
96,0.9928539074434259,0.0016247926
97,0.993430930346015,0.0062006344
98,0.9938798643105234,0.007275837
99,0.9848369217987898,0.00467334
100,0.9925326836292975,0.0035324881
101,0.9909405800867793,0.0021845342
102,0.9820881774147988,0.004681482
103,0.9881274520813542,0.0029355027
104,0.9936728900140385,0.0019316194
105,0.9941061760339635,0.0019676173
106,0.9936118809059996,0.004393316
107,0.9934243990856331,0.0043899287
108,0.993678110277515,0.0035656758
109,0.9937118333581354,0.003528256
110,0.9908971811314475,0.0023500866
111,0.9871894205051637,0.008899613
112,0.9931211447417064,0.0073623424
113,0.9901034547048034,0.006117764
114,0.9929204623183021,0.0039031724
115,0.9819599427248702,0.0052714157
116,0.9929961563817717,0.002429003
117,0.9931299424951302,0.0022533913
118,0.9928937163418056,0.008348826
119,0.9939539575342252,0.0015806487
120,0.9900199943713618,0.0022181524
121,0.988844995803995,0.00405814
122,0.9934259626709318,0.0039153094
123,0.9935586851539651,0.0021207763
124,0.9921242610520635,0.003917971
125,0.9941905284769194,0.0034007514
126,0.9928682315528199,0.0042104553
127,0.9934411680643546,0.0015654088
128,0.9921685578586675,0.0057196263
129,0.9935357630469582,0.0047315694
130,0.9874533954171306,0.0029886474
131,0.9936247086048214,0.006987878
132,0.9938607004721752,0.0035789886
133,0.9932995868228119,0.013573798
134,0.99309490135666,0.006439585
135,0.9932546227653237,0.0044136215
136,0.9923948124768934,0.0029686855
137,0.9930397195285436,0.0016086419
138,0.9918874340169749,0.0018826933
139,0.9937782600985253,0.005635802
140,0.9934588643191428,0.004933042
141,0.9864535722275721,0.0076830597
142,0.9938086448544291,0.004878432
143,0.991466379115792,0.003140251
144,0.9939244271993484,0.0044201748
145,0.991505359495716,0.00247074
146,0.9933388456873018,0.005169036
147,0.9888290916141367,0.0033289015
148,0.9904205599357726,0.0040952694
149,0.9915650637842273,0.002902319
150,0.9931884038969219,0.001372799
151,0.9926075653337001,0.00198378
