,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2718.618619,604.0860934,1418.956711,84.46948259,7922.93229,160.2052735,2940.655712,2521.476377,8052.796284,924.2352942,724.0153769,7135.599851,8842.313564,13542.3425,6480.97466,1708.353659,724.6763826,14517.75311,3636.217237,8874.40302,10378.56999,6436.414609,18052.92777,1239.262838,7454.735952,2103.027889
2721.621622,663.2269753,1545.705954,69.01536238,8225.120719,169.4737341,2742.759759,2577.406635,8122.275543,944.6461619,745.5828491,7497.955185,9208.209308,15570.82111,7039.136516,1961.868638,746.4965712,15187.26424,3792.207735,9608.303325,10637.66959,6650.803621,18963.94781,1429.075542,8362.355591,2170.409032
2724.624625,591.2944991,1471.199512,59.99330408,8384.574731,174.7427395,2755.634531,2733.986811,8390.89315,975.2263926,847.0329089,7657.334943,9933.739217,16904.89522,7086.433588,2111.980901,759.400531,15299.04804,3822.767167,9882.029584,10690.84385,6847.37532,18853.75608,1471.207202,9068.452686,2253.061324
2727.627628,668.9051645,1577.433413,57.44829199,8615.910277,172.3201063,2711.542654,2760.473005,8336.280228,980.396072,842.9962918,7743.818325,10613.48164,16919.68531,6794.565562,2224.554075,701.3826192,14584.97318,3629.563764,9470.84877,10772.71945,6959.614206,17771.92151,1239.193709,8615.296215,2093.860591
2730.630631,688.8562984,1578.739459,56.56474968,8722.445573,155.3936499,2616.193383,2507.999134,8193.160212,963.6560601,855.6985333,7591.983402,11002.6178,15734.88252,6081.048631,2034.626521,803.318667,12996.03409,3190.561386,8259.704987,10707.46921,6873.092993,15914.0798,1121.190126,7699.916407,1733.130946
2733.633634,617.3341761,1688.528439,58.57775899,8265.439219,133.7952859,2363.321272,2419.161672,7424.546349,919.7708924,824.5529409,6745.111497,11013.1394,13753.86378,5030.14685,1964.108194,638.1545658,10885.88273,2731.689305,7123.76281,10108.94231,6492.437671,13623.59626,937.076061,6536.675338,1404.392921
2736.636637,587.119701,1562.281755,60.73559247,7519.58665,110.554159,2213.238163,2118.212086,6713.774676,834.8645407,683.4285223,6187.027771,10713.49514,11206.07779,4303.289594,1886.978972,661.7584407,9154.364442,2324.138052,5908.328365,9314.345079,5984.20446,11590.40523,730.8089581,5332.322247,1085.987834
2739.63964,428.4679129,1425.908255,59.46098077,6832.221136,91.37074664,2078.675962,1994.552062,5978.212584,748.6830165,498.5259018,5445.169442,9962.379371,9393.625712,3652.756646,1762.324309,568.6292149,7857.444029,1977.116812,4890.243865,8681.401444,5509.20417,10330.41402,628.0852053,4514.770328,849.183233
2742.642643,427.9146874,1537.122805,56.73925518,6177.040437,83.19772263,1975.602933,1805.602896,5332.079284,700.2851261,531.109619,4911.590092,9201.746707,8076.880348,3151.548563,1789.940795,534.606738,6918.316248,1806.578902,4582.572025,8245.748196,5094.254052,9873.991585,513.393859,4085.172696,696.4594932
2745.645646,337.569616,1370.62577,53.30274821,5670.452707,76.0089243,1894.127628,1657.781314,4962.345883,693.805731,410.1985251,4461.509335,8520.049615,7201.788225,2964.081064,1758.862186,474.7567331,6465.977373,1667.557318,4124.492253,7928.32653,4754.403729,9795.876815,483.0875377,3798.173505,699.5122672
