,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2764.321608,0.007804474,0.040100492,0.028289114,0.026828232,0.030981267,0.038737467,0.025348204,0.033322691,0.02817712,0,0.022748237,0.017161819,0.013489578,0.013198688,0.014900869,0.006978132,0.022712817,0.025863053,0.002656042,0.043450338,0.052897252,0.037003387,0.005087776,0.016883199,0.00555237
2766.331658,0.001078375,0.045558629,0.028141488,0.026419222,0.031718714,0.040463953,0.026431709,0.032847437,0.029224587,0.000692035,0.021986596,0.016088578,0.012927418,0.012339398,0.017222621,0.006468691,0.022209033,0.025158586,6.53E-05,0.043564748,0.053158513,0.036084893,0.00857348,0.016709019,0.002738547
2768.341709,0.00536123,0.041009354,0.027503844,0.026491433,0.029890196,0.037710965,0.024416436,0.031019601,0.030005685,0.002486816,0.023121318,0.015884023,0.012228297,0.011759093,0.018702739,0.016306059,0.021441133,0.023714807,0.00113294,0.043457104,0.053898714,0.03533297,0.00781222,0.017212444,0.002168725
2770.351759,0.003530453,0.045371422,0.024508497,0.027099498,0.029260549,0.034634089,0.026175541,0.030848398,0.031015724,0.004592095,0.023976611,0.016232482,0.011946997,0.011688236,0.020250932,0.026880662,0.020986008,0.022895059,0.002594551,0.043471602,0.054415667,0.034988112,0.006461191,0.017096808,0.000879926
2772.361809,0.000283599,0.039121249,0.026070404,0.027605938,0.030492877,0.034009191,0.025694964,0.032013696,0.030784357,0.007675517,0.024166534,0.01610406,0.012136375,0.011456121,0.022321098,0.033269896,0.020856487,0.022799428,0.001293172,0.043795332,0.054494539,0.035114584,0.006393336,0.01704406,0
2774.371859,0.006012373,0.044486702,0.025304428,0.028312904,0.030774646,0.03309473,0.019238951,0.031802681,0.029679384,0.008389884,0.025008651,0.015670872,0.012307204,0.010941629,0.024732709,0.036752322,0.020658898,0.022821142,0,0.044289313,0.054911635,0.035418626,0.006547279,0.017814816,0.002272869
2776.38191,0.009765578,0.044374033,0.025681449,0.029037521,0.030438604,0.031526193,0.024996837,0.031706793,0.031789375,0.003998112,0.025792302,0.015874441,0.012226918,0.011429687,0.02764043,0.027564794,0.020665653,0.023483308,0.001816791,0.044816546,0.05637909,0.035613422,0.012918104,0.017103314,0.002104359
2778.39196,0.003813774,0.046015649,0.023739383,0.029571336,0.028813267,0.030621028,0.025637681,0.032539198,0.030806695,0.001913194,0.026494175,0.015636257,0.012506665,0.011661615,0.029995938,0.018739256,0.020778782,0.02305282,0.001539907,0.045520987,0.058354185,0.035753509,0.009235962,0.016838288,0.003900262
2780.40201,0.002208522,0.043941437,0.025724142,0.030730738,0.028655112,0.029538643,0.023675432,0.033863374,0.030674917,0.00543089,0.026840472,0.015495351,0.013176442,0.011710066,0.03188746,0.028187475,0.021317938,0.023391809,0.001646264,0.046661077,0.059789003,0.036034991,0.00549819,0.01730589,0.003324677
2782.41206,0.009364222,0.043597552,0.027617331,0.033040168,0.028976667,0.031199518,0.02650227,0.035435413,0.03349578,0.008448997,0.027911616,0.015839199,0.013966699,0.01234191,0.033996211,0.041803982,0.021813865,0.024137096,0.003912375,0.048346533,0.060533568,0.036566966,0.008317154,0.017971216,0.00028593
2784.422111,0.011957866,0.049098217,0.024975544,0.035139956,0.028821552,0.036926171,0.029989618,0.037284183,0.035009724,0.006695171,0.030419824,0.016135808,0.014796356,0.013119351,0.036369431,0.03646985,0.021763993,0.023268722,0.005466404,0.050495344,0.061594619,0.037346031,0.008662189,0.018941223,0.001779703
2786.432161,0.014561028,0.044853981,0.023945588,0.036749675,0.028516786,0.036815486,0.031296307,0.038492073,0.03705846,0.009078709,0.031812647,0.016826578,0.015654929,0.012807376,0.038528908,0.037726635,0.022405444,0.024028786,0.006836785,0.052978447,0.063767185,0.038339147,0.009692873,0.019958776,0.00538311
2788.442211,0.0178644,0.04355411,0.026703712,0.037903198,0.029595525,0.036647114,0.03028698,0.038734705,0.039339599,0.009244533,0.034194268,0.017981457,0.016401878,0.013598395,0.041397505,0.055910302,0.022482343,0.023976135,0.007309258,0.055525284,0.066663921,0.039421926,0.007951289,0.020334385,0.005909048
2790.452261,0.014922469,0.045437578,0.025233804,0.038772365,0.029747829,0.038139998,0.029639525,0.040122613,0.041487526,0.008462072,0.035875862,0.018258606,0.017284228,0.014545182,0.043494489,0.064341138,0.022754537,0.024381252,0.008412744,0.057852878,0.06961673,0.040451379,0.007659211,0.021502248,0.006313215
2792.462312,0.015764115,0.049800989,0.024891576,0.040361388,0.029719587,0.040502931,0.031460585,0.042998244,0.043921892,0.011797086,0.03634906,0.017920543,0.018293688,0.015146534,0.044733185,0.056915949,0.023886434,0.025332608,0.010730029,0.060060946,0.072323035,0.0413622,0.011705693,0.022651988,0.00799515
2794.472362,0.024031492,0.054379016,0.026925896,0.041641797,0.028941388,0.04394433,0.034554107,0.044615006,0.046575357,0.016754428,0.038697962,0.018632667,0.019014471,0.016560563,0.046964466,0.054926462,0.024825228,0.024885482,0.012589414,0.06255598,0.07477423,0.042151992,0.014214329,0.021950163,0.007630997
2796.482412,0.02190642,0.050514261,0.029754615,0.04232907,0.032141907,0.044423374,0.035879225,0.044507947,0.047844127,0.016873196,0.041965076,0.019084366,0.019628975,0.016468075,0.048523759,0.045469006,0.025637959,0.027146966,0.014283065,0.065421353,0.076938566,0.042940624,0.012430001,0.023597211,0.008736044
2798.492462,0.027318654,0.052024571,0.025316841,0.043288118,0.032540189,0.046531675,0.036232709,0.046171373,0.04792462,0.018237148,0.0440438,0.019226559,0.020829879,0.016723487,0.050340189,0.057185079,0.026827318,0.027936426,0.016143256,0.067946663,0.078708998,0.044136185,0.015709567,0.025127359,0.010950424
2800.502513,0.022997381,0.054661918,0.026570557,0.044789699,0.034494057,0.050163342,0.039028399,0.048804828,0.048662864,0.023168238,0.045285064,0.019650741,0.021982144,0.018265141,0.053501336,0.071506357,0.027622317,0.028332107,0.018847707,0.069440395,0.079983711,0.046086908,0.018222703,0.02660767,0.012986017
2802.512563,0.030670703,0.056649052,0.031692415,0.046346492,0.037382608,0.053176733,0.04215852,0.050904448,0.051298759,0.026529342,0.047243253,0.020680309,0.022845094,0.019760859,0.058066401,0.068213786,0.028350239,0.030227193,0.021910031,0.070320907,0.080794411,0.048302602,0.017286265,0.028509853,0.015735426
2804.522613,0.028389176,0.059052384,0.033807907,0.048457264,0.037905755,0.056130443,0.04082563,0.053195427,0.054404365,0.024708617,0.050311799,0.022010588,0.024205059,0.020512871,0.063228236,0.065995194,0.030405358,0.03141969,0.023106258,0.07154185,0.081242615,0.049897884,0.020742042,0.029281222,0.019732042
2806.532663,0.026482717,0.057027729,0.034591762,0.050838735,0.037865207,0.058366824,0.041536554,0.05444237,0.055440934,0.023698195,0.053554802,0.023075042,0.025502419,0.022551896,0.068008488,0.065708785,0.032286411,0.032921828,0.02187824,0.07360428,0.081637647,0.050774341,0.019736726,0.030368322,0.021098526
2808.542714,0.033389314,0.058443699,0.038895952,0.05386424,0.039212563,0.063017623,0.046352022,0.057535147,0.058932336,0.025457581,0.056310678,0.024601812,0.026667981,0.02404665,0.073790901,0.07520199,0.03401709,0.035248824,0.024795314,0.076358144,0.08258468,0.051960446,0.018971892,0.031722783,0.023249269
2810.552764,0.039472006,0.067470385,0.038417763,0.057860217,0.045241137,0.070305622,0.049808766,0.061927757,0.062224046,0.028381269,0.060894895,0.026653161,0.02779251,0.025083312,0.082147336,0.092978688,0.036600493,0.03712493,0.030347222,0.079682038,0.084560498,0.054371274,0.020190463,0.033035329,0.026746188
2812.562814,0.038494975,0.064201105,0.043390878,0.062209418,0.047578436,0.076467732,0.051454014,0.066269065,0.063921701,0.031849192,0.066037786,0.028829604,0.028992137,0.026289677,0.090645134,0.107286761,0.039824097,0.038790759,0.03365245,0.083802051,0.087373719,0.058038278,0.022568209,0.035265917,0.030203081
2814.572864,0.046866096,0.068149805,0.048703858,0.066780362,0.050570385,0.081681344,0.056921088,0.071518255,0.068468932,0.03671211,0.0693215,0.03137646,0.030513903,0.027568989,0.096824844,0.112796521,0.042774311,0.042310578,0.036519567,0.089049618,0.090697447,0.062781222,0.02691496,0.039321779,0.034442415
2816.582915,0.043693734,0.077795961,0.057827141,0.073542064,0.054560421,0.095465327,0.062811434,0.077962813,0.074054846,0.042792858,0.07737573,0.034888532,0.032560961,0.030590863,0.105562988,0.120809451,0.046654795,0.04704821,0.044258264,0.095914407,0.095040215,0.068972656,0.030616923,0.043476996,0.040481135
2818.592965,0.051837889,0.073799445,0.06405302,0.081325909,0.061440324,0.113747104,0.067720564,0.087407765,0.081537079,0.054958587,0.084109796,0.038043048,0.03469177,0.033156107,0.111468255,0.126634818,0.051740765,0.051659021,0.050277691,0.105018288,0.101607716,0.077448243,0.032817864,0.047401225,0.046712455
